Sample no,Year,barangay,sex,age,disease,cases
145,2017,anos,male,35-39,N39,1
146,2017,anos,female,35-39,N39,3
147,2017,anos,male,40-44,N39,1
148,2017,anos,female,40-44,N39,0
149,2017,anos,male,45-49,N39,1
150,2017,anos,female,45-49,N39,3
151,2017,anos,male,50-54,N39,0
152,2017,anos,female,50-54,N39,1
153,2017,anos,male,55-59,N39,1
154,2017,anos,female,55-59,N39,1
155,2017,anos,male,60-64,N39,0
156,2017,anos,female,60-64,N39,5
157,2017,anos,male,65-69,N39,1
158,2017,anos,female,65-69,N39,2
159,2017,anos,male,70 Above,N39,0
160,2017,anos,female,70 Above,N39,3
161,2017,anos,male,under 1,J03,0
162,2017,anos,female,under 1,J03,0
163,2017,anos,male,1-4,J03,4
164,2017,anos,female,1-4,J03,10
165,2017,anos,male,5-9,J03,17
166,2017,anos,female,5-9,J03,13
167,2017,anos,male,10-14,J03,5
168,2017,anos,female,10-14,J03,4
169,2017,anos,male,15-19,J03,3
170,2017,anos,female,15-19,J03,3
171,2017,anos,male,20-24,J03,1
172,2017,anos,female,20-24,J03,3
173,2017,anos,male,25-29,J03,1
174,2017,anos,female,25-29,J03,3
175,2017,anos,male,30-34,J03,0
176,2017,anos,female,30-34,J03,1
177,2017,anos,male,35-39,J03,0
178,2017,anos,female,35-39,J03,1
179,2017,anos,male,40-44,J03,1
180,2017,anos,female,40-44,J03,1
181,2017,anos,male,45-49,J03,0
182,2017,anos,female,45-49,J03,1
183,2017,anos,male,50-54,J03,0
184,2017,anos,female,50-54,J03,1
185,2017,anos,male,55-59,J03,0
186,2017,anos,female,55-59,J03,0
187,2017,anos,male,60-64,J03,0
188,2017,anos,female,60-64,J03,0
189,2017,anos,male,65-69,J03,0
190,2017,anos,female,65-69,J03,0
191,2017,anos,male,70 Above,J03,0
192,2017,anos,female,70 Above,J03,0
193,2017,anos,male,under 1,J45,10
194,2017,anos,female,under 1,J45,0
195,2017,anos,male,1-4,J45,14
196,2017,anos,female,1-4,J45,6
197,2017,anos,male,5-9,J45,1
198,2017,anos,female,5-9,J45,8
199,2017,anos,male,10-14,J45,2
200,2017,anos,female,10-14,J45,0
201,2017,anos,male,15-19,J45,0
202,2017,anos,female,15-19,J45,2
203,2017,anos,male,20-24,J45,0
204,2017,anos,female,20-24,J45,0
205,2017,anos,male,25-29,J45,0
206,2017,anos,female,25-29,J45,0
207,2017,anos,male,30-34,J45,0
208,2017,anos,female,30-34,J45,0
209,2017,anos,male,35-39,J45,1
210,2017,anos,female,35-39,J45,0
211,2017,anos,male,40-44,J45,0
212,2017,anos,female,40-44,J45,1
213,2017,anos,male,45-49,J45,0
214,2017,anos,female,45-49,J45,0
215,2017,anos,male,50-54,J45,0
216,2017,anos,female,50-54,J45,0
217,2017,anos,male,55-59,J45,0
218,2017,anos,female,55-59,J45,0
219,2017,anos,male,60-64,J45,0
220,2017,anos,female,60-64,J45,3
221,2017,anos,male,65-69,J45,0
222,2017,anos,female,65-69,J45,1
223,2017,anos,male,70 Above,J45,0
224,2017,anos,female,70 Above,J45,0
225,2017,anos,male,under 1,W54,0
226,2017,anos,female,under 1,W54,0
227,2017,anos,male,1-4,W54,5
228,2017,anos,female,1-4,W54,1
229,2017,anos,male,5-9,W54,6
230,2017,anos,female,5-9,W54,3
231,2017,anos,male,10-14,W54,1
232,2017,anos,female,10-14,W54,0
233,2017,anos,male,15-19,W54,1
234,2017,anos,female,15-19,W54,3
235,2017,anos,male,20-24,W54,3
236,2017,anos,female,20-24,W54,6
237,2017,anos,male,25-29,W54,0
238,2017,anos,female,25-29,W54,7
239,2017,anos,male,30-34,W54,1
240,2017,anos,female,30-34,W54,0
241,2017,anos,male,35-39,W54,0
242,2017,anos,female,35-39,W54,1
243,2017,anos,male,40-44,W54,0
244,2017,anos,female,40-44,W54,0
245,2017,anos,male,45-49,W54,2
246,2017,anos,female,45-49,W54,1
247,2017,anos,male,50-54,W54,0
248,2017,anos,female,50-54,W54,1
249,2017,anos,male,55-59,W54,1
250,2017,anos,female,55-59,W54,1
251,2017,anos,male,60-64,W54,2
252,2017,anos,female,60-64,W54,0
253,2017,anos,male,65-69,W54,0
254,2017,anos,female,65-69,W54,0
255,2017,anos,male,70 Above,W54,0
256,2017,anos,female,70 Above,W54,1
257,2017,anos,male,under 1,B86,0
258,2017,anos,female,under 1,B86,1
259,2017,anos,male,1-4,B86,12
260,2017,anos,female,1-4,B86,7
261,2017,anos,male,5-9,B86,9
262,2017,anos,female,5-9,B86,3
263,2017,anos,male,10-14,B86,0
264,2017,anos,female,10-14,B86,1
265,2017,anos,male,15-19,B86,0
266,2017,anos,female,15-19,B86,0
267,2017,anos,male,20-24,B86,1
268,2017,anos,female,20-24,B86,0
269,2017,anos,male,25-29,B86,0
270,2017,anos,female,25-29,B86,0
271,2017,anos,male,30-34,B86,0
272,2017,anos,female,30-34,B86,0
273,2017,anos,male,35-39,B86,0
274,2017,anos,female,35-39,B86,0
275,2017,anos,male,40-44,B86,0
276,2017,anos,female,40-44,B86,0
277,2017,anos,male,45-49,B86,0
278,2017,anos,female,45-49,B86,0
279,2017,anos,male,50-54,B86,0
280,2017,anos,female,50-54,B86,0
281,2017,anos,male,55-59,B86,0
282,2017,anos,female,55-59,B86,0
283,2017,anos,male,60-64,B86,0
284,2017,anos,female,60-64,B86,0
285,2017,anos,male,65-69,B86,0
286,2017,anos,female,65-69,B86,0
287,2017,anos,male,70 Above,B86,0
288,2017,anos,female,70 Above,B86,0
289,2017,anos,male,under 1,L02,1
290,2017,anos,female,under 1,L02,6
291,2017,anos,male,1-4,L02,2
292,2017,anos,female,1-4,L02,6
293,2017,anos,male,5-9,L02,2
294,2017,anos,female,5-9,L02,1
295,2017,anos,male,10-14,L02,1
296,2017,anos,female,10-14,L02,0
297,2017,anos,male,15-19,L02,0
298,2017,anos,female,15-19,L02,0
299,2017,anos,male,20-24,L02,1
300,2017,anos,female,20-24,L02,0
301,2017,anos,male,25-29,L02,0
302,2017,anos,female,25-29,L02,3
303,2017,anos,male,30-34,L02,0
304,2017,anos,female,30-34,L02,0
305,2017,anos,male,35-39,L02,0
306,2017,anos,female,35-39,L02,0
307,2017,anos,male,40-44,L02,0
308,2017,anos,female,40-44,L02,0
309,2017,anos,male,45-49,L02,1
310,2017,anos,female,45-49,L02,0
311,2017,anos,male,50-54,L02,0
312,2017,anos,female,50-54,L02,0
313,2017,anos,male,55-59,L02,4
314,2017,anos,female,55-59,L02,1
315,2017,anos,male,60-64,L02,0
316,2017,anos,female,60-64,L02,1
317,2017,anos,male,65-69,L02,0
318,2017,anos,female,65-69,L02,0
319,2017,anos,male,70 Above,L02,0
320,2017,anos,female,70 Above,L02,0
321,2017,anos,male,under 1,T14,0
322,2017,anos,female,under 1,T14,0
323,2017,anos,male,1-4,T14,0
324,2017,anos,female,1-4,T14,3
325,2017,anos,male,5-9,T14,5
326,2017,anos,female,5-9,T14,2
327,2017,anos,male,10-14,T14,3
328,2017,anos,female,10-14,T14,0
329,2017,anos,male,15-19,T14,1
330,2017,anos,female,15-19,T14,1
331,2017,anos,male,20-24,T14,1
332,2017,anos,female,20-24,T14,0
333,2017,anos,male,25-29,T14,2
334,2017,anos,female,25-29,T14,0
335,2017,anos,male,30-34,T14,0
336,2017,anos,female,30-34,T14,0
337,2017,anos,male,35-39,T14,0
338,2017,anos,female,35-39,T14,1
339,2017,anos,male,40-44,T14,1
340,2017,anos,female,40-44,T14,3
341,2017,anos,male,45-49,T14,1
342,2017,anos,female,45-49,T14,1
343,2017,anos,male,50-54,T14,0
344,2017,anos,female,50-54,T14,1
345,2017,anos,male,55-59,T14,0
346,2017,anos,female,55-59,T14,1
347,2017,anos,male,60-64,T14,1
348,2017,anos,female,60-64,T14,0
349,2017,anos,male,65-69,T14,0
350,2017,anos,female,65-69,T14,1
351,2017,anos,male,70 Above,T14,1
352,2017,anos,female,70 Above,T14,0
353,2017,anos,male,under 1,T78,0
354,2017,anos,female,under 1,T78,1
355,2017,anos,male,1-4,T78,2
356,2017,anos,female,1-4,T78,5
357,2017,anos,male,5-9,T78,1
358,2017,anos,female,5-9,T78,2
359,2017,anos,male,10-14,T78,1
360,2017,anos,female,10-14,T78,1
361,2017,anos,male,15-19,T78,0
362,2017,anos,female,15-19,T78,2
363,2017,anos,male,20-24,T78,0
