Sample no,Year,barangay,sex,age,disease,cases
4454,2017,Maahas,female,5-9,B37,1
4455,2017,Maahas,male,10-14,B37,1
4456,2017,Maahas,female,10-14,B37,2
4457,2017,Maahas,male,15-19,B37,0
4458,2017,Maahas,female,15-19,B37,0
4459,2017,Maahas,male,20-24,B37,0
4460,2017,Maahas,female,20-24,B37,0
4461,2017,Maahas,male,25-29,B37,0
4462,2017,Maahas,female,25-29,B37,0
4463,2017,Maahas,male,30-34,B37,0
4464,2017,Maahas,female,30-34,B37,0
4465,2017,Maahas,male,35-39,B37,1
4466,2017,Maahas,female,35-39,B37,0
4467,2017,Maahas,male,40-44,B37,0
4468,2017,Maahas,female,40-44,B37,0
4469,2017,Maahas,male,45-49,B37,1
4470,2017,Maahas,female,45-49,B37,0
4471,2017,Maahas,male,50-54,B37,0
4472,2017,Maahas,female,50-54,B37,0
4473,2017,Maahas,male,55-59,B37,0
4474,2017,Maahas,female,55-59,B37,0
4475,2017,Maahas,male,60-64,B37,0
4476,2017,Maahas,female,60-64,B37,0
4477,2017,Maahas,male,65-69,B37,0
4478,2017,Maahas,female,65-69,B37,0
4479,2017,Maahas,male,70 Above,B37,0
4480,2017,Maahas,female,70 Above,B37,0
4481,2017,Maahas,male,under 1,J03,0
4482,2017,Maahas,female,under 1,J03,0
4483,2017,Maahas,male,1-4,J03,5
4484,2017,Maahas,female,1-4,J03,1
4485,2017,Maahas,male,5-9,J03,3
4486,2017,Maahas,female,5-9,J03,2
4487,2017,Maahas,male,10-14,J03,3
4488,2017,Maahas,female,10-14,J03,1
4489,2017,Maahas,male,15-19,J03,0
4490,2017,Maahas,female,15-19,J03,0
4491,2017,Maahas,male,20-24,J03,0
4492,2017,Maahas,female,20-24,J03,0
4493,2017,Maahas,male,25-29,J03,0
4494,2017,Maahas,female,25-29,J03,0
4495,2017,Maahas,male,30-34,J03,0
4496,2017,Maahas,female,30-34,J03,1
4497,2017,Maahas,male,35-39,J03,0
4498,2017,Maahas,female,35-39,J03,0
4499,2017,Maahas,male,40-44,J03,0
4500,2017,Maahas,female,40-44,J03,0
4501,2017,Maahas,male,45-49,J03,0
4502,2017,Maahas,female,45-49,J03,0
4503,2017,Maahas,male,50-54,J03,0
4504,2017,Maahas,female,50-54,J03,0
4505,2017,Maahas,male,55-59,J03,0
4506,2017,Maahas,female,55-59,J03,0
4507,2017,Maahas,male,60-64,J03,0
4508,2017,Maahas,female,60-64,J03,0
4509,2017,Maahas,male,65-69,J03,0
4510,2017,Maahas,female,65-69,J03,0
4511,2017,Maahas,male,70 Above,J03,0
4512,2017,Maahas,female,70 Above,J03,0
4513,2017,Maahas,male,under 1,J45,0
4514,2017,Maahas,female,under 1,J45,0
4515,2017,Maahas,male,1-4,J45,3
4516,2017,Maahas,female,1-4,J45,2
4517,2017,Maahas,male,5-9,J45,2
4518,2017,Maahas,female,5-9,J45,0
4519,2017,Maahas,male,10-14,J45,1
4520,2017,Maahas,female,10-14,J45,0
4521,2017,Maahas,male,15-19,J45,0
4522,2017,Maahas,female,15-19,J45,0
4523,2017,Maahas,male,20-24,J45,0
4524,2017,Maahas,female,20-24,J45,1
4525,2017,Maahas,male,25-29,J45,0
4526,2017,Maahas,female,25-29,J45,0
4527,2017,Maahas,male,30-34,J45,0
4528,2017,Maahas,female,30-34,J45,0
4529,2017,Maahas,male,35-39,J45,0
4530,2017,Maahas,female,35-39,J45,0
4531,2017,Maahas,male,40-44,J45,0
4532,2017,Maahas,female,40-44,J45,0
4533,2017,Maahas,male,45-49,J45,0
4534,2017,Maahas,female,45-49,J45,0
4535,2017,Maahas,male,50-54,J45,2
4536,2017,Maahas,female,50-54,J45,0
4537,2017,Maahas,male,55-59,J45,0
4538,2017,Maahas,female,55-59,J45,0
4539,2017,Maahas,male,60-64,J45,0
4540,2017,Maahas,female,60-64,J45,0
4541,2017,Maahas,male,65-69,J45,0
4542,2017,Maahas,female,65-69,J45,0
4543,2017,Maahas,male,70 Above,J45,0
4544,2017,Maahas,female,70 Above,J45,0
4545,2017,Maahas,male,under 1,A15,0
4546,2017,Maahas,female,under 1,A15,0
4547,2017,Maahas,male,1-4,A15,0
4548,2017,Maahas,female,1-4,A15,0
4549,2017,Maahas,male,5-9,A15,0
4550,2017,Maahas,female,5-9,A15,0
4551,2017,Maahas,male,10-14,A15,0
4552,2017,Maahas,female,10-14,A15,0
4553,2017,Maahas,male,15-19,A15,0
4554,2017,Maahas,female,15-19,A15,0
4555,2017,Maahas,male,20-24,A15,0
4556,2017,Maahas,female,20-24,A15,0
4557,2017,Maahas,male,25-29,A15,0
4558,2017,Maahas,female,25-29,A15,0
4559,2017,Maahas,male,30-34,A15,2
4560,2017,Maahas,female,30-34,A15,0
4561,2017,Maahas,male,35-39,A15,0
4562,2017,Maahas,female,35-39,A15,0
4563,2017,Maahas,male,40-44,A15,1
4564,2017,Maahas,female,40-44,A15,0
4565,2017,Maahas,male,45-49,A15,0
4566,2017,Maahas,female,45-49,A15,0
4567,2017,Maahas,male,50-54,A15,2
4568,2017,Maahas,female,50-54,A15,0
4569,2017,Maahas,male,55-59,A15,1
4570,2017,Maahas,female,55-59,A15,1
4571,2017,Maahas,male,60-64,A15,1
4572,2017,Maahas,female,60-64,A15,0
4573,2017,Maahas,male,65-69,A15,0
4574,2017,Maahas,female,65-69,A15,0
4575,2017,Maahas,male,70 Above,A15,0
4576,2017,Maahas,female,70 Above,A15,0
4577,2017,Maahas,male,under 1,A16,0
4578,2017,Maahas,female,under 1,A16,0
4579,2017,Maahas,male,1-4,A16,0
4580,2017,Maahas,female,1-4,A16,0
4581,2017,Maahas,male,5-9,A16,0
4582,2017,Maahas,female,5-9,A16,0
4583,2017,Maahas,male,10-14,A16,0
4584,2017,Maahas,female,10-14,A16,0
4585,2017,Maahas,male,15-19,A16,0
4586,2017,Maahas,female,15-19,A16,0
4587,2017,Maahas,male,20-24,A16,1
4588,2017,Maahas,female,20-24,A16,0
4589,2017,Maahas,male,25-29,A16,0
4590,2017,Maahas,female,25-29,A16,0
4591,2017,Maahas,male,30-34,A16,2
4592,2017,Maahas,female,30-34,A16,0
4593,2017,Maahas,male,35-39,A16,0
4594,2017,Maahas,female,35-39,A16,0
4595,2017,Maahas,male,40-44,A16,0
4596,2017,Maahas,female,40-44,A16,0
4597,2017,Maahas,male,45-49,A16,0
4598,2017,Maahas,female,45-49,A16,0
4599,2017,Maahas,male,50-54,A16,1
4600,2017,Maahas,female,50-54,A16,1
4601,2017,Maahas,male,55-59,A16,0
4602,2017,Maahas,female,55-59,A16,0
4603,2017,Maahas,male,60-64,A16,0
4604,2017,Maahas,female,60-64,A16,0
4605,2017,Maahas,male,65-69,A16,1
4606,2017,Maahas,female,65-69,A16,1
4607,2017,Maahas,male,70 Above,A16,1
4608,2017,Maahas,female,70 Above,A16,0
4609,2017,Malinta,male,under 1,J06,83
4610,2017,Malinta,female,under 1,J06,175
4611,2017,Malinta,male,1-4,J06,284
4612,2017,Malinta,female,1-4,J06,288
4613,2017,Malinta,male,5-9,J06,186
4614,2017,Malinta,female,5-9,J06,183
4615,2017,Malinta,male,10-14,J06,79
4616,2017,Malinta,female,10-14,J06,75
4617,2017,Malinta,male,15-19,J06,31
4618,2017,Malinta,female,15-19,J06,45
4619,2017,Malinta,male,20-24,J06,23
4620,2017,Malinta,female,20-24,J06,36
4621,2017,Malinta,male,25-29,J06,14
4622,2017,Malinta,female,25-29,J06,36
4623,2017,Malinta,male,30-34,J06,14
4624,2017,Malinta,female,30-34,J06,38
4625,2017,Malinta,male,35-39,J06,13
4626,2017,Malinta,female,35-39,J06,40
4627,2017,Malinta,male,40-44,J06,13
4628,2017,Malinta,female,40-44,J06,33
4629,2017,Malinta,male,45-49,J06,10
4630,2017,Malinta,female,45-49,J06,16
4631,2017,Malinta,male,50-54,J06,9
4632,2017,Malinta,female,50-54,J06,26
4633,2017,Malinta,male,55-59,J06,3
4634,2017,Malinta,female,55-59,J06,16
4635,2017,Malinta,male,60-64,J06,6
4636,2017,Malinta,female,60-64,J06,8
4637,2017,Malinta,male,65-69,J06,24
4638,2017,Malinta,female,65-69,J06,29
4639,2017,Malinta,male,70 Above,J06,0
4640,2017,Malinta,female,70 Above,J06,3
4641,2017,Malinta,male,under 1,J22,27
4642,2017,Malinta,female,under 1,J22,29
4643,2017,Malinta,male,1-4,J22,35
4644,2017,Malinta,female,1-4,J22,32
4645,2017,Malinta,male,5-9,J22,19
4646,2017,Malinta,female,5-9,J22,12
4647,2017,Malinta,male,10-14,J22,4
4648,2017,Malinta,female,10-14,J22,1
4649,2017,Malinta,male,15-19,J22,1
4650,2017,Malinta,female,15-19,J22,2
4651,2017,Malinta,male,20-24,J22,1
4652,2017,Malinta,female,20-24,J22,4
4653,2017,Malinta,male,25-29,J22,1
4654,2017,Malinta,female,25-29,J22,3
4655,2017,Malinta,male,30-34,J22,1
4656,2017,Malinta,female,30-34,J22,2
4657,2017,Malinta,male,35-39,J22,0
4658,2017,Malinta,female,35-39,J22,1
4659,2017,Malinta,male,40-44,J22,0
4660,2017,Malinta,female,40-44,J22,2
4661,2017,Malinta,male,45-49,J22,2
4662,2017,Malinta,female,45-49,J22,1
4663,2017,Malinta,male,50-54,J22,2
4664,2017,Malinta,female,50-54,J22,4
4665,2017,Malinta,male,55-59,J22,2
4666,2017,Malinta,female,55-59,J22,6
4667,2017,Malinta,male,60-64,J22,1
4668,2017,Malinta,female,60-64,J22,4
4669,2017,Malinta,male,65-69,J22,3
4670,2017,Malinta,female,65-69,J22,11
4671,2017,Malinta,male,70 Above,J22,0
4672,2017,Malinta,female,70 Above,J22,0
4673,2017,Malinta,male,under 1,J45,5
4674,2017,Malinta,female,under 1,J45,2
4675,2017,Malinta,male,1-4,J45,24
4676,2017,Malinta,female,1-4,J45,22
4677,2017,Malinta,male,5-9,J45,27
4678,2017,Malinta,female,5-9,J45,14
4679,2017,Malinta,male,10-14,J45,1
4680,2017,Malinta,female,10-14,J45,4
4681,2017,Malinta,male,15-19,J45,2
4682,2017,Malinta,female,15-19,J45,0
4683,2017,Malinta,male,20-24,J45,2
4684,2017,Malinta,female,20-24,J45,4
4685,2017,Malinta,male,25-29,J45,0
4686,2017,Malinta,female,25-29,J45,2
4687,2017,Malinta,male,30-34,J45,1
4688,2017,Malinta,female,30-34,J45,3
4689,2017,Malinta,male,35-39,J45,0
4690,2017,Malinta,female,35-39,J45,4
4691,2017,Malinta,male,40-44,J45,1
4692,2017,Malinta,female,40-44,J45,4
4693,2017,Malinta,male,45-49,J45,0
4694,2017,Malinta,female,45-49,J45,1
4695,2017,Malinta,male,50-54,J45,0
4696,2017,Malinta,female,50-54,J45,1
4697,2017,Malinta,male,55-59,J45,0
4698,2017,Malinta,female,55-59,J45,3
4699,2017,Malinta,male,60-64,J45,0
4700,2017,Malinta,female,60-64,J45,0
4701,2017,Malinta,male,65-69,J45,4
4702,2017,Malinta,female,65-69,J45,6
4703,2017,Malinta,male,70 Above,J45,0
4704,2017,Malinta,female,70 Above,J45,1
4705,2017,Malinta,male,under 1,T79,0
4706,2017,Malinta,female,under 1,T79,0
4707,2017,Malinta,male,1-4,T79,19
4708,2017,Malinta,female,1-4,T79,13
4709,2017,Malinta,male,5-9,T79,17
4710,2017,Malinta,female,5-9,T79,13
4711,2017,Malinta,male,10-14,T79,11
4712,2017,Malinta,female,10-14,T79,2
4713,2017,Malinta,male,15-19,T79,2
4714,2017,Malinta,female,15-19,T79,2
4715,2017,Malinta,male,20-24,T79,2
4716,2017,Malinta,female,20-24,T79,0
4717,2017,Malinta,male,25-29,T79,1
4718,2017,Malinta,female,25-29,T79,2
4719,2017,Malinta,male,30-34,T79,0
4720,2017,Malinta,female,30-34,T79,1
4721,2017,Malinta,male,35-39,T79,2
4722,2017,Malinta,female,35-39,T79,2
4723,2017,Malinta,male,40-44,T79,1
4724,2017,Malinta,female,40-44,T79,1
4725,2017,Malinta,male,45-49,T79,2
4726,2017,Malinta,female,45-49,T79,0
4727,2017,Malinta,male,50-54,T79,2
4728,2017,Malinta,female,50-54,T79,2
4729,2017,Malinta,male,55-59,T79,0
4730,2017,Malinta,female,55-59,T79,4
4731,2017,Malinta,male,60-64,T79,1
4732,2017,Malinta,female,60-64,T79,0
4733,2017,Malinta,male,65-69,T79,2
4734,2017,Malinta,female,65-69,T79,1
4735,2017,Malinta,male,70 Above,T79,0
4736,2017,Malinta,female,70 Above,T79,1
4737,2017,Malinta,male,under 1,T78,5
4738,2017,Malinta,female,under 1,T78,4
4739,2017,Malinta,male,1-4,T78,13
4740,2017,Malinta,female,1-4,T78,14
4741,2017,Malinta,male,5-9,T78,9
4742,2017,Malinta,female,5-9,T78,8
4743,2017,Malinta,male,10-14,T78,5
4744,2017,Malinta,female,10-14,T78,1
4745,2017,Malinta,male,15-19,T78,3
4746,2017,Malinta,female,15-19,T78,2
4747,2017,Malinta,male,20-24,T78,2
4748,2017,Malinta,female,20-24,T78,0
4749,2017,Malinta,male,25-29,T78,1
4750,2017,Malinta,female,25-29,T78,4
4751,2017,Malinta,male,30-34,T78,3
4752,2017,Malinta,female,30-34,T78,2
4753,2017,Malinta,male,35-39,T78,0
4754,2017,Malinta,female,35-39,T78,2
4755,2017,Malinta,male,40-44,T78,1
4756,2017,Malinta,female,40-44,T78,3
4757,2017,Malinta,male,45-49,T78,2
4758,2017,Malinta,female,45-49,T78,1
4759,2017,Malinta,male,50-54,T78,0
4760,2017,Malinta,female,50-54,T78,2
4761,2017,Malinta,male,55-59,T78,0
4762,2017,Malinta,female,55-59,T78,0
4763,2017,Malinta,male,60-64,T78,1
4764,2017,Malinta,female,60-64,T78,1
4765,2017,Malinta,male,65-69,T78,1
4766,2017,Malinta,female,65-69,T78,0
4767,2017,Malinta,male,70 Above,T78,0
4768,2017,Malinta,female,70 Above,T78,4
4769,2017,Malinta,male,under 1,H81,0
4770,2017,Malinta,female,under 1,H81,0
4771,2017,Malinta,male,1-4,H81,0
4772,2017,Malinta,female,1-4,H81,0
4773,2017,Malinta,male,5-9,H81,0
4774,2017,Malinta,female,5-9,H81,0
4775,2017,Malinta,male,10-14,H81,0
4776,2017,Malinta,female,10-14,H81,0
4777,2017,Malinta,male,15-19,H81,2
4778,2017,Malinta,female,15-19,H81,5
4779,2017,Malinta,male,20-24,H81,0
4780,2017,Malinta,female,20-24,H81,3
4781,2017,Malinta,male,25-29,H81,2
4782,2017,Malinta,female,25-29,H81,4
4783,2017,Malinta,male,30-34,H81,0
4784,2017,Malinta,female,30-34,H81,8
4785,2017,Malinta,male,35-39,H81,2
4786,2017,Malinta,female,35-39,H81,10
4787,2017,Malinta,male,40-44,H81,5
4788,2017,Malinta,female,40-44,H81,7
4789,2017,Malinta,male,45-49,H81,0
4790,2017,Malinta,female,45-49,H81,3
4791,2017,Malinta,male,50-54,H81,1
4792,2017,Malinta,female,50-54,H81,9
4793,2017,Malinta,male,55-59,H81,1
4794,2017,Malinta,female,55-59,H81,8
4795,2017,Malinta,male,60-64,H81,1
4796,2017,Malinta,female,60-64,H81,1
4797,2017,Malinta,male,65-69,H81,7
4798,2017,Malinta,female,65-69,H81,2
4799,2017,Malinta,male,70 Above,H81,0
4800,2017,Malinta,female,70 Above,H81,2
4801,2017,Malinta,male,under 1,I10,0
4802,2017,Malinta,female,under 1,I10,0
4803,2017,Malinta,male,1-4,I10,0
4804,2017,Malinta,female,1-4,I10,0
4805,2017,Malinta,male,5-9,I10,0
4806,2017,Malinta,female,5-9,I10,0
4807,2017,Malinta,male,10-14,I10,0
4808,2017,Malinta,female,10-14,I10,0
4809,2017,Malinta,male,15-19,I10,0
4810,2017,Malinta,female,15-19,I10,0
4811,2017,Malinta,male,20-24,I10,0
4812,2017,Malinta,female,20-24,I10,0
4813,2017,Malinta,male,25-29,I10,0
4814,2017,Malinta,female,25-29,I10,1
4815,2017,Malinta,male,30-34,I10,0
4816,2017,Malinta,female,30-34,I10,3
4817,2017,Malinta,male,35-39,I10,2
4818,2017,Malinta,female,35-39,I10,4
4819,2017,Malinta,male,40-44,I10,2
4820,2017,Malinta,female,40-44,I10,3
4821,2017,Malinta,male,45-49,I10,2
4822,2017,Malinta,female,45-49,I10,0
4823,2017,Malinta,male,50-54,I10,4
4824,2017,Malinta,female,50-54,I10,5
4825,2017,Malinta,male,55-59,I10,7
4826,2017,Malinta,female,55-59,I10,7
4827,2017,Malinta,male,60-64,I10,2
4828,2017,Malinta,female,60-64,I10,8
4829,2017,Malinta,male,65-69,I10,6
4830,2017,Malinta,female,65-69,I10,20
4831,2017,Malinta,male,70 Above,I10,0
4832,2017,Malinta,female,70 Above,I10,3
4833,2017,Malinta,male,under 1,L02,4
4834,2017,Malinta,female,under 1,L02,1
4835,2017,Malinta,male,1-4,L02,9
4836,2017,Malinta,female,1-4,L02,10
4837,2017,Malinta,male,5-9,L02,8
4838,2017,Malinta,female,5-9,L02,3
4839,2017,Malinta,male,10-14,L02,2
4840,2017,Malinta,female,10-14,L02,5
4841,2017,Malinta,male,15-19,L02,1
4842,2017,Malinta,female,15-19,L02,3
4843,2017,Malinta,male,20-24,L02,1
4844,2017,Malinta,female,20-24,L02,4
4845,2017,Malinta,male,25-29,L02,4
4846,2017,Malinta,female,25-29,L02,1
4847,2017,Malinta,male,30-34,L02,2
4848,2017,Malinta,female,30-34,L02,5
4849,2017,Malinta,male,35-39,L02,0
4850,2017,Malinta,female,35-39,L02,4
4851,2017,Malinta,male,40-44,L02,1
4852,2017,Malinta,female,40-44,L02,4
4853,2017,Malinta,male,45-49,L02,0
4854,2017,Malinta,female,45-49,L02,1
4855,2017,Malinta,male,50-54,L02,0
4856,2017,Malinta,female,50-54,L02,0
4857,2017,Malinta,male,55-59,L02,0
4858,2017,Malinta,female,55-59,L02,0
4859,2017,Malinta,male,60-64,L02,0
4860,2017,Malinta,female,60-64,L02,1
4861,2017,Malinta,male,65-69,L02,2
4862,2017,Malinta,female,65-69,L02,1
4863,2017,Malinta,male,70 Above,L02,0
4864,2017,Malinta,female,70 Above,L02,0
4865,2017,Malinta,male,under 1,W54,0
4866,2017,Malinta,female,under 1,W54,0
4867,2017,Malinta,male,1-4,W54,7
4868,2017,Malinta,female,1-4,W54,3
4869,2017,Malinta,male,5-9,W54,8
4870,2017,Malinta,female,5-9,W54,5
4871,2017,Malinta,male,10-14,W54,6
4872,2017,Malinta,female,10-14,W54,1
4873,2017,Malinta,male,15-19,W54,5
4874,2017,Malinta,female,15-19,W54,0
4875,2017,Malinta,male,20-24,W54,3
4876,2017,Malinta,female,20-24,W54,2
4877,2017,Malinta,male,25-29,W54,2
4878,2017,Malinta,female,25-29,W54,1
4879,2017,Malinta,male,30-34,W54,2
4880,2017,Malinta,female,30-34,W54,5
4881,2017,Malinta,male,35-39,W54,3
4882,2017,Malinta,female,35-39,W54,2
4883,2017,Malinta,male,40-44,W54,2
4884,2017,Malinta,female,40-44,W54,1
4885,2017,Malinta,male,45-49,W54,0
4886,2017,Malinta,female,45-49,W54,3
4887,2017,Malinta,male,50-54,W54,2
4888,2017,Malinta,female,50-54,W54,0
4889,2017,Malinta,male,55-59,W54,1
4890,2017,Malinta,female,55-59,W54,1
4891,2017,Malinta,male,60-64,W54,0
4892,2017,Malinta,female,60-64,W54,1
4893,2017,Malinta,male,65-69,W54,4
4894,2017,Malinta,female,65-69,W54,1
4895,2017,Malinta,male,70 Above,W54,1
4896,2017,Malinta,female,70 Above,W54,2
4897,2017,Malinta,male,under 1,J00,10
4898,2017,Malinta,female,under 1,J00,9
4899,2017,Malinta,male,1-4,J00,15
4900,2017,Malinta,female,1-4,J00,14
4901,2017,Malinta,male,5-9,J00,4
4902,2017,Malinta,female,5-9,J00,5
4903,2017,Malinta,male,10-14,J00,1
4904,2017,Malinta,female,10-14,J00,2
4905,2017,Malinta,male,15-19,J00,1
4906,2017,Malinta,female,15-19,J00,0
4907,2017,Malinta,male,20-24,J00,2
4908,2017,Malinta,female,20-24,J00,2
4909,2017,Malinta,male,25-29,J00,0
4910,2017,Malinta,female,25-29,J00,1
4911,2017,Malinta,male,30-34,J00,0
4912,2017,Malinta,female,30-34,J00,0
4913,2017,Malinta,male,35-39,J00,0
4914,2017,Malinta,female,35-39,J00,1
4915,2017,Malinta,male,40-44,J00,1
4916,2017,Malinta,female,40-44,J00,1
4917,2017,Malinta,male,45-49,J00,0
4918,2017,Malinta,female,45-49,J00,0
4919,2017,Malinta,male,50-54,J00,0
4920,2017,Malinta,female,50-54,J00,1
4921,2017,Malinta,male,55-59,J00,0
4922,2017,Malinta,female,55-59,J00,0
4923,2017,Malinta,male,60-64,J00,0
4924,2017,Malinta,female,60-64,J00,1
4925,2017,Malinta,male,65-69,J00,0
4926,2017,Malinta,female,65-69,J00,1
4927,2017,Malinta,male,70 Above,J00,0
4928,2017,Malinta,female,70 Above,J00,0
4929,2017,Malinta,male,under 1,M79,0
4930,2017,Malinta,female,under 1,M79,0
4931,2017,Malinta,male,1-4,M79,0
4932,2017,Malinta,female,1-4,M79,0
4933,2017,Malinta,male,5-9,M79,0
4934,2017,Malinta,female,5-9,M79,1
4935,2017,Malinta,male,10-14,M79,0
4936,2017,Malinta,female,10-14,M79,0
4937,2017,Malinta,male,15-19,M79,4
4938,2017,Malinta,female,15-19,M79,2
4939,2017,Malinta,male,20-24,M79,2
4940,2017,Malinta,female,20-24,M79,3
4941,2017,Malinta,male,25-29,M79,2
4942,2017,Malinta,female,25-29,M79,2
4943,2017,Malinta,male,30-34,M79,2
4944,2017,Malinta,female,30-34,M79,4
4945,2017,Malinta,male,35-39,M79,3
4946,2017,Malinta,female,35-39,M79,6
4947,2017,Malinta,male,40-44,M79,0
4948,2017,Malinta,female,40-44,M79,2
4949,2017,Malinta,male,45-49,M79,1
4950,2017,Malinta,female,45-49,M79,2
4951,2017,Malinta,male,50-54,M79,4
4952,2017,Malinta,female,50-54,M79,5
4953,2017,Malinta,male,55-59,M79,1
4954,2017,Malinta,female,55-59,M79,5
4955,2017,Malinta,male,60-64,M79,0
4956,2017,Malinta,female,60-64,M79,1
4957,2017,Malinta,male,65-69,M79,5
4958,2017,Malinta,female,65-69,M79,4
4959,2017,Malinta,male,70 Above,M79,0
4960,2017,Malinta,female,70 Above,M79,3
4961,2017,Malinta,male,under 1,M25,0
4962,2017,Malinta,female,under 1,M25,0
4963,2017,Malinta,male,1-4,M25,0
4964,2017,Malinta,female,1-4,M25,0
4965,2017,Malinta,male,5-9,M25,1
4966,2017,Malinta,female,5-9,M25,0
4967,2017,Malinta,male,10-14,M25,1
4968,2017,Malinta,female,10-14,M25,0
4969,2017,Malinta,male,15-19,M25,0
4970,2017,Malinta,female,15-19,M25,0
4971,2017,Malinta,male,20-24,M25,0
4972,2017,Malinta,female,20-24,M25,0
4973,2017,Malinta,male,25-29,M25,0
4974,2017,Malinta,female,25-29,M25,1
4975,2017,Malinta,male,30-34,M25,1
4976,2017,Malinta,female,30-34,M25,0
4977,2017,Malinta,male,35-39,M25,2
4978,2017,Malinta,female,35-39,M25,1
4979,2017,Malinta,male,40-44,M25,2
4980,2017,Malinta,female,40-44,M25,1
4981,2017,Malinta,male,45-49,M25,1
4982,2017,Malinta,female,45-49,M25,1
4983,2017,Malinta,male,50-54,M25,0
4984,2017,Malinta,female,50-54,M25,2
4985,2017,Malinta,male,55-59,M25,3
4986,2017,Malinta,female,55-59,M25,2
4987,2017,Malinta,male,60-64,M25,1
4988,2017,Malinta,female,60-64,M25,3
4989,2017,Malinta,male,65-69,M25,4
4990,2017,Malinta,female,65-69,M25,7
4991,2017,Malinta,male,70 Above,M25,0
4992,2017,Malinta,female,70 Above,M25,5
4993,2017,Malinta,male,under 1,A08,4
4994,2017,Malinta,female,under 1,A08,1
4995,2017,Malinta,male,1-4,A08,12
4996,2017,Malinta,female,1-4,A08,8
4997,2017,Malinta,male,5-9,A08,2
4998,2017,Malinta,female,5-9,A08,4
4999,2017,Malinta,male,10-14,A08,0
5000,2017,Malinta,female,10-14,A08,1
5001,2017,Malinta,male,15-19,A08,0
5002,2017,Malinta,female,15-19,A08,2
5003,2017,Malinta,male,20-24,A08,0
5004,2017,Malinta,female,20-24,A08,2
5005,2017,Malinta,male,25-29,A08,1
5006,2017,Malinta,female,25-29,A08,0
5007,2017,Malinta,male,30-34,A08,0
5008,2017,Malinta,female,30-34,A08,0
5009,2017,Malinta,male,35-39,A08,0
5010,2017,Malinta,female,35-39,A08,0
5011,2017,Malinta,male,40-44,A08,0
5012,2017,Malinta,female,40-44,A08,0
5013,2017,Malinta,male,45-49,A08,0
5014,2017,Malinta,female,45-49,A08,0
5015,2017,Malinta,male,50-54,A08,0
5016,2017,Malinta,female,50-54,A08,0
5017,2017,Malinta,male,55-59,A08,0
5018,2017,Malinta,female,55-59,A08,0
5019,2017,Malinta,male,60-64,A08,0
5020,2017,Malinta,female,60-64,A08,0
5021,2017,Malinta,male,65-69,A08,0
5022,2017,Malinta,female,65-69,A08,1
5023,2017,Malinta,male,70 Above,A08,0
5024,2017,Malinta,female,70 Above,A08,0
5025,2017,Malinta,male,under 1,T14,0
5026,2017,Malinta,female,under 1,T14,1
5027,2017,Malinta,male,1-4,T14,2
5028,2017,Malinta,female,1-4,T14,5
5029,2017,Malinta,male,5-9,T14,1
5030,2017,Malinta,female,5-9,T14,1
5031,2017,Malinta,male,10-14,T14,1
5032,2017,Malinta,female,10-14,T14,0
5033,2017,Malinta,male,15-19,T14,0
5034,2017,Malinta,female,15-19,T14,4
5035,2017,Malinta,male,20-24,T14,1
5036,2017,Malinta,female,20-24,T14,1
5037,2017,Malinta,male,25-29,T14,2
5038,2017,Malinta,female,25-29,T14,1
5039,2017,Malinta,male,30-34,T14,0
5040,2017,Malinta,female,30-34,T14,2
5041,2017,Malinta,male,35-39,T14,1
5042,2017,Malinta,female,35-39,T14,1
5043,2017,Malinta,male,40-44,T14,1
5044,2017,Malinta,female,40-44,T14,2
5045,2017,Malinta,male,45-49,T14,0
5046,2017,Malinta,female,45-49,T14,1
5047,2017,Malinta,male,50-54,T14,1
5048,2017,Malinta,female,50-54,T14,1
5049,2017,Malinta,male,55-59,T14,0
5050,2017,Malinta,female,55-59,T14,3
5051,2017,Malinta,male,60-64,T14,0
5052,2017,Malinta,female,60-64,T14,3
5053,2017,Malinta,male,65-69,T14,0
5054,2017,Malinta,female,65-69,T14,0
5055,2017,Malinta,male,70 Above,T14,1
5056,2017,Malinta,female,70 Above,T14,1
5057,2017,Malinta,male,under 1,J98,6
5058,2017,Malinta,female,under 1,J98,4
5059,2017,Malinta,male,1-4,J98,7
5060,2017,Malinta,female,1-4,J98,3
5061,2017,Malinta,male,5-9,J98,3
5062,2017,Malinta,female,5-9,J98,0
5063,2017,Malinta,male,10-14,J98,0
5064,2017,Malinta,female,10-14,J98,0
5065,2017,Malinta,male,15-19,J98,0
5066,2017,Malinta,female,15-19,J98,0
5067,2017,Malinta,male,20-24,J98,1
5068,2017,Malinta,female,20-24,J98,0
5069,2017,Malinta,male,25-29,J98,1
5070,2017,Malinta,female,25-29,J98,0
5071,2017,Malinta,male,30-34,J98,0
5072,2017,Malinta,female,30-34,J98,0
5073,2017,Malinta,male,35-39,J98,0
5074,2017,Malinta,female,35-39,J98,1
5075,2017,Malinta,male,40-44,J98,2
5076,2017,Malinta,female,40-44,J98,0
5077,2017,Malinta,male,45-49,J98,0
5078,2017,Malinta,female,45-49,J98,0
5079,2017,Malinta,male,50-54,J98,1
5080,2017,Malinta,female,50-54,J98,1
5081,2017,Malinta,male,55-59,J98,0
5082,2017,Malinta,female,55-59,J98,1
5083,2017,Malinta,male,60-64,J98,0
5084,2017,Malinta,female,60-64,J98,1
5085,2017,Malinta,male,65-69,J98,0
5086,2017,Malinta,female,65-69,J98,0
